Player Hand,House Upcard,Count,Move,Bet
"['Ace of Hearts', '8 of Clubs']",3 of Diamonds,0,S,10
"['7 of Spades', '9 of Spades']",2 of Spades,0,S,10
"['5 of Spades', '2 of Diamonds']",8 of Spades,-1,H,10
"['Jack of Clubs', '2 of Hearts']",8 of Diamonds,1,H,10
"['2 of Hearts', '4 of Clubs']",Ace of Clubs,1,H,10
"['10 of Diamonds', 'Ace of Spades']",Queen of Hearts,-1,S,10
"['Ace of Hearts', '10 of Clubs']",5 of Clubs,-1,S,10
"['3 of Diamonds', '4 of Clubs']",4 of Diamonds,-1,H,10
"['7 of Hearts', 'Ace of Clubs']",3 of Clubs,0,D,10
"['King of Clubs', 'King of Clubs']",10 of Spades,2,S,10
"['Queen of Diamonds', 'King of Spades']",6 of Diamonds,1,S,10
"['Ace of Spades', '2 of Clubs']",3 of Diamonds,3,H,10
"['5 of Hearts', '4 of Diamonds']",8 of Diamonds,4,H,10
"['King of Hearts', '2 of Spades']",9 of Hearts,5,H,10
"['King of Clubs', '2 of Diamonds']",7 of Hearts,4,H,10
"['2 of Diamonds', '9 of Spades']",Queen of Clubs,5,D,10
"['2 of Clubs', '6 of Clubs']",9 of Hearts,6,H,20
"['10 of Diamonds', '10 of Clubs']",9 of Clubs,5,S,20
"['7 of Hearts', 'King of Hearts']",2 of Hearts,5,S,20
"['3 of Diamonds', '5 of Diamonds']",Queen of Hearts,4,H,20
"['4 of Clubs', 'Queen of Spades']",Ace of Diamonds,3,H,10
"['Queen of Clubs', '7 of Spades']",7 of Diamonds,4,S,20
"['10 of Hearts', '4 of Diamonds']",Ace of Spades,4,H,100
"['Queen of Spades', '6 of Clubs']",10 of Clubs,4,SU,100
"['10 of Clubs', 'King of Diamonds']",3 of Hearts,4,S,100
"['6 of Spades', '9 of Clubs']",7 of Diamonds,0,H,200
"['Queen of Diamonds', '6 of Spades']",7 of Spades,-2,H,10
"['7 of Hearts', 'King of Hearts']",4 of Diamonds,-1,S,10
"['King of Hearts', '7 of Clubs']",10 of Hearts,1,S,10
"['4 of Clubs', '2 of Clubs']",9 of Hearts,1,H,10
"['7 of Spades', '8 of Hearts']",2 of Clubs,2,S,10
"['King of Clubs', '10 of Diamonds']",Jack of Diamonds,4,S,10
"['9 of Clubs', 'Ace of Diamonds']",Ace of Spades,6,S,10
"['Jack of Clubs', '2 of Hearts']",9 of Hearts,5,H,10
"['Queen of Clubs', 'Ace of Diamonds']",Ace of Spades,6,S,10
"['King of Diamonds', '8 of Spades']",8 of Clubs,6,S,10
"['4 of Spades', '7 of Clubs']",2 of Diamonds,6,D,20
"['7 of Spades', '5 of Spades']",2 of Spades,5,H,10
"['4 of Diamonds', 'King of Spades']",Queen of Clubs,7,H,20
"['6 of Clubs', 'Jack of Hearts']",9 of Clubs,9,SU,50
